maximum.number.of.nodes,Clark's completion,Transform output,Propagating evidence,number.of.predicates,instance,Total time,maximum.arity,number.of.independent.pairs,domain.size,proportion.probabilistic,Solver call,Grounding,Transform input,Cycle breaking,universe.size,number.of.facts,number.of.variables,answer
4,0.0001,0.0000,0.0000,4,7,40.1592,3,1,100,0.5,0.1136,0.0039,0.0003,0.0002,3010000,100000,8,0.4
4,,,0.0001,8,7,35.3539,3,17,400,0.5,,0.2861,,,192321200,100000,8,
8,,,0.0000,8,2,1.4154,1,8,400,0.5,,0.9758,,,3200,2400.0,8,
4,,,0.0000,8,8,0.7552,1,12,200,0.25,,0.6175,,,1600,1200.0,2,829.
2,0.0000,0.0000,0.0000,8,2,2.4428,2,16,200,0.25,0.0330,0.0020,0.0002,0.0003,200600,10000,4,0.2
8,,,0.0000,8,5,26.1152,2,20,200,0.25,,0.4856,,,200600,100000,8,
2,0.0000,,0.0000,8,0,3.8582,3,27,200,0.5,,0.0014,,0.0000,40080200,10000,4,1
4,0.0000,0.0000,0.0000,4,2,3.7096,3,1,100,0.5,0.0311,0.0015,0.0002,0.0003,2020000,10000,4,0.1
2,0.0000,0.0000,0.0000,8,7,0.3234,2,12,400,0.75,0.0297,0.0014,0.0003,0.0001,960800,1000,8,0.9
4,0.0000,,0.0000,4,2,37.0197,3,1,200,0.5,,0.0019,,0.0000,16080000,100000,4,1
8,,,0.0000,8,8,1.3969,1,10,400,0.75,,0.9345,,,3200,2400.0,4,
4,0.0003,0.0001,0.0000,4,2,2.6497,3,1,400,0.25,0.0529,0.0040,0.0004,0.0010,128320000,10000,4,0.5
2,0.0000,0.0000,0.0000,8,2,37.6291,3,28,400,0.5,0.0544,0.0020,0.0002,0.0001,192480800,100000,2,0.1
8,0.0000,,0.0000,8,6,30.2687,2,26,400,0.5,,0.0020,,0.0001,322400,100000,2,1
2,0.0000,,0.0000,8,0,7.0825,2,12,100,0.75,,0.0019,,0.0000,30500,22875.0,8,1
8,0.0000,,0.0000,8,9,30.9891,2,26,200,0.5,,0.0021,,0.0001,160800,100000,2,1
8,,,0.0001,8,8,35.2463,2,4,400,0.75,,0.7116,,,1280000,100000,8,
2,0.0001,,0.0000,8,9,3.2996,3,27,400,0.25,,0.0050,,0.0001,128481200,10000,4,1
